Item,P5531,P3377,P2088,P856
Q15861362,0001860300,,patreon,https://www.patreon.com/
Q18343497,0001423602,,pond5,https://www.pond5.com/
Q96373787,,,bookbub,https://www.bookbub.com/welcome
Q6971147,,8159366Z:IN,national-bulk-handling,https://www.nbhcindia.com/
Q19258242,,,ask-chemicals,https://www.ask-chemicals.com/home
Q22909236,0001579091,1586789D:US,instacart,https://www.instacart.com/
Q28222607,0001406931,,tanium,https://www.tanium.com/
Q28127079,,,altschool,https://learnercentered.org/
Q17084399,0001611801,,opengov,https://opengov.com/
Q17087863,0001690904,,ubiome,
Q23000507,,,peopledoc,https://www.people-doc.com/
Q18154756,0001840502,54026Z:US,taboola,https://www.taboola.com/
Q30269079,0001468806,,innocoll-holdings,https://www.innocoll.com/
Q28136450,,0995182D:LN,roli,https://roli.com/
Q7433515,,0772144D:US,science-exchange,https://ww2.scienceexchange.com/s/
Q18155123,0001783879,1278015D:US,robinhood,https://robinhood.com/us/en/
Q30260262,0001621227,,adaptimmune,https://www.adaptimmune.com/
Q30263140,0001501134,NVTA:US,invitae-corporation,https://www.invitae.com/en
Q7838011,0001614028,,trello,https://trello.com/
Q17143517,,,justpark,https://www.justpark.com/
Q60488844,0001544373,,iex,https://exchange.iex.io
Q7441960,0001481915,0925807D:US,seatgeek,https://seatgeek.com/
Q19878991,,,imperial-metals,https://imperialmetals.com/
Q7801459,0001408242,,tiger-resources,http://www.tigerresources.com.au/
Q29526078,0001461886,,bloom-energy,http://bloomenergy.com/
Q30268883,0001557883,,dermira,https://www.dermira.com/
Q2805487,,,catawiki,https://www.catawiki.com/en/
Q19867512,0001581184,,zoomdata,https://www.logianalytics.com
Q20714382,0001621344,1074870D:US,hipcamp,https://www.hipcamp.com/en-US
Q64142189,0001590416,,6sensor-labs,https://nimasensor.com/
Q25325419,,,bright-computing,https://www.brightcomputing.com
Q1136,0001713445,0893288D:US,reddit,https://www.redditinc.com/
Q16959158,0001855457,8394533Z:AU,kore-wireless-group,https://www.korewireless.com
